INSERT INTO student (nr_albumu, imie, nazwisko, wiek, nr_gr) VALUES (0, 'KAMIL', 'SZAMOT', '19', 92);
INSERT INTO student (nr_albumu, imie, nazwisko, wiek, nr_gr) VALUES (1, 'VOLODYMYR', 'CIESIELSKI', '23', 835);
INSERT INTO student (nr_albumu, imie, nazwisko, wiek, nr_gr) VALUES (2, 'ZOFIA', 'ADAMSKA', '26', 392);
INSERT INTO student (nr_albumu, imie, nazwisko, wiek, nr_gr) VALUES (3, 'ŁUKASZ', 'WYDRA', '25', 738);
INSERT INTO student (nr_albumu, imie, nazwisko, wiek, nr_gr) VALUES (4, 'EWA', 'PANCHENKO', '20', 681);
INSERT INTO student (nr_albumu, imie, nazwisko, wiek, nr_gr) VALUES (5, 'FRANCISZEK', 'BYCZKOWSKI', '18', 853);
INSERT INTO student (nr_albumu, imie, nazwisko, wiek, nr_gr) VALUES (6, 'KAMILA', 'TAŃCULA', '24', 976);
INSERT INTO student (nr_albumu, imie, nazwisko, wiek, nr_gr) VALUES (7, 'YULIIA', 'GRZEŚKOWIAK', '18', 587);
INSERT INTO student (nr_albumu, imie, nazwisko, wiek, nr_gr) VALUES (8, 'ZOFIA', 'ŚLUBOWSKA', '25', 143);
INSERT INTO student (nr_albumu, imie, nazwisko, wiek, nr_gr) VALUES (9, 'BARTOSZ', 'KOŁODZIEJSKI', '18', 774);
INSERT INTO student (nr_albumu, imie, nazwisko, wiek, nr_gr) VALUES (10, 'GRZEGORZ', 'TUZIAK', '21', 18);
INSERT INTO student (nr_albumu, imie, nazwisko, wiek, nr_gr) VALUES (11, 'IWONA', 'SABAT', '25', 894);
INSERT INTO student (nr_albumu, imie, nazwisko, wiek, nr_gr) VALUES (12, 'DOROTA', 'DZIOSA', '18', 463);
INSERT INTO student (nr_albumu, imie, nazwisko, wiek, nr_gr) VALUES (13, 'MONIKA', 'NOWAK', '24', 179);
INSERT INTO student (nr_albumu, imie, nazwisko, wiek, nr_gr) VALUES (14, 'TERESA', 'KACZMARCZYK', '24', 449);
INSERT INTO student (nr_albumu, imie, nazwisko, wiek, nr_gr) VALUES (15, 'RÓŻA', 'KĘDZIERSKA', '23', 58);
INSERT INTO student (nr_albumu, imie, nazwisko, wiek, nr_gr) VALUES (16, 'EDYTA', 'ŚWIĘCICKA', '19', 751);
INSERT INTO student (nr_albumu, imie, nazwisko, wiek, nr_gr) VALUES (17, 'OLGA', 'ZONTEK', '18', 775);
INSERT INTO student (nr_albumu, imie, nazwisko, wiek, nr_gr) VALUES (18, 'ELYAS', 'CHAJDER', '25', 225);
INSERT INTO student (nr_albumu, imie, nazwisko, wiek, nr_gr) VALUES (19, 'LIDIA', 'ROMANIK', '24', 14);
INSERT INTO student (nr_albumu, imie, nazwisko, wiek, nr_gr) VALUES (20, 'MARZENA', 'KIESZKOWSKA', '24', 271);
INSERT INTO student (nr_albumu, imie, nazwisko, wiek, nr_gr) VALUES (21, 'MAŁGORZATA', 'JASIONOWICZ', '18', 887);
